Flag,CompID,IndType,FiscYear,TA,Z1,Z2,Z3,Z4,Z5,ST,year,DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,M-Score1,DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,M-Score2,DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,M-Score3
1,1604,6,2005,2.56E+07,0.063889,-0.19736,-0.24057,0.3903,0.96287,-1.539364327,2005,0.647832037,2.189158635,0.886352123,1.202689714,0.744769534,1.390033748,1.55732317,-0.128424583,-2.920813895,0.975210796,1.584380482,0.999615428,0.851202462,0.965010111,1.148714176,1.561795907,-0.135331048,-3.173659853,1.078980879,1.141581986,0.821436793,1.528351667,0.992427459,0.705378183,0.592753324,0.183944476,-0.889782174
1,1606,6,2007,3.34E+07,0.25613,0.020653,0.037648,0.41845,0.80503,-1.501376458,2007,0.736896851,1.204884466,0.822128587,1.41879871,0.97781027,0.876033724,0.743630168,0.108352903,-1.702580954,0.910710475,1.680048463,1.542990511,1.683475891,1.029905562,0.567335685,0.969594061,0.060173682,-1.004699312,1.643127175,0.677391317,0.601899607,1.282235219,0.948327069,1.329588056,0.967824366,0.088553153,-1.605509023
1,1613,6,2000,1.69E+07,-0.17827,0.015079,0.038504,0.15498,0.60262,-1.779199506,2000,1.335791539,1.186196837,1.025909062,0.996989672,1.000752135,1.203095517,1.555750308,-0.201466956,-3.224217978,0.980328666,1.149533718,0.887263584,1.237488188,0.874909841,0.898696651,1.626082705,-0.024012826,-2.566896123,0.937826988,1.337708828,0.902334884,1.280126114,1.068070439,0.904033632,1.331709992,-0.079406147,-2.604149338
1,6101,32,2007,3.25E+06,-0.020691,-0.043968,0.015981,0.67575,1.0199,-1.255664468,2007,1.067857224,0.941762575,1.01692506,1.385289503,1.694371013,1.118415608,1.051687985,-0.063348383,-2.351628626,1.094943538,0.372857129,1.814158289,1.416474777,1.205636331,0.873194957,1.075455203,-0.057252906,-2.270469485,1.236065126,1.140541817,1.057374627,1.013465519,0.801851068,1.051954533,1.249378484,-0.131370801,-2.88137746
1,8707,5,1997,7.96E+06,0.31324,0.13176,0.16288,4.091,0.47508,2.173483373,1997,0.934399072,1.19239573,1.206898869,1.070627333,1.057891585,1.174101805,1.705337724,0.095811589,-2.097812171,0.846475087,1.034594536,0.842899716,1.155467155,0.928450933,1.072346237,1.059588894,0.032804413,-2.414434232,0.742712009,0.866498404,1.590478461,1.40368923,0.980864183,1.014699231,0.682505953,0.132405136,-1.469934407
1,9903,20,1992,1.06E+07,0.1056,0.0067599,0.045258,0.71037,0.85607,-1.215344717,1992,1.524878671,1.111130991,0.723197708,1.133885232,1.303971884,0.923806396,1.267348069,0.00325857,-1.954950859,0.783520749,0.78399075,0.852877745,1.438112981,0.500237616,1.837813411,1.130853706,0.012472422,-2.647861686,0.968092078,0.664995704,2.757184515,1.195261149,0.819164507,1.3661331,1.211285299,-0.074365197,-2.302978091
1,5901,18,1998,1.75E+07,-0.021986,0.02572,0.050446,0.54327,0.49893,-1.384842864,1998,6.783305102,1.00705453,2.21462913,1.234333423,0.974924171,0.833675971,1.180516982,-0.150862571,2.804910057,0.233833566,1.064281133,1.376997145,1.100562976,1.166080249,1.063335947,1.142053212,0.29592086,-1.562555909,0.630402728,0.997585099,0.97360775,0.974519338,0.842078337,0.980777455,1.038365045,-0.003808579,-2.899916201
1,3252,16,2007,7.79E+05,0.30866,-0.90613,-0.98484,2.1623,2.9119,0.223665759,2007,0.505608945,-0.382837916,2.526163287,0.862817811,0.200832258,1.991209307,1.241975626,-0.504366077,-5.872221932,4.430156345,0.125042294,0.861514819,1.504645986,0.975969387,0.554492421,1.666828228,0.08474747,0.860306739,0.20271698,19.45839538,0.632243231,0.669418386,1.697010366,2.038719875,1.599469156,-0.27729754,4.49707462
1,2322,13,1998,2.82E+07,0.21796,-0.018406,-0.017398,0.9431,1.0681,-0.980386367,1998,1.18114772,0.978339097,1.58739536,0.969900706,0.751133379,1.143055429,1.289944214,-0.075202637,-2.614231993,1.171530107,1.319121497,1.838382646,1.1308073,0.912045323,1.343744945,0.85662889,0.013856355,-1.65583213,1.07757979,0.936100412,0.934971998,1.061963013,1.092164679,1.158851964,0.927373286,0.083537094,-2.015470481
1,1206,2,1998,3.08E+07,0.071673,0.015228,0.069398,1.1639,0.26803,-0.759788173,1998,0.227734977,0.569635189,1.2240695,1.634433292,1.031264813,0.844802866,1.243183619,0.006112779,-2.781907859,1.193399685,1.05585278,1.010703287,2.192883401,1.874999783,0.479982412,1.143397987,0.041080983,-0.868811121,0.899547308,1.076511318,0.51537288,0.991967413,3.742096382,1.270395141,0.780299816,-0.048501046,-2.62123424
1,1228,2,1997,2.52E+06,0.085138,-0.10301,-0.22388,4.024,0.49059,2.095420307,1997,0.860949451,-28.23959796,4.760282542,0.22293464,0.939124652,4.740839622,0.484704646,-0.035272379,-17.86738534,1.532413194,1.085959003,0.76585133,1.056716228,0.969794652,0.943979493,2.447540075,-0.02220711,-2.559889455,1.79476484,0.979873153,8.040295352,1.316229823,0.958721128,1.001177543,0.699093573,-0.015639319,1.387183421
1,1230,2,1997,1.47E+06,0.60617,0.055967,-0.077301,4.2666,0.94085,2.355145525,1997,0.904657086,-2.313763381,4.130093265,0.336970474,0.849425109,0.419255351,0.365631304,-0.118833001,-3.910256284,2.265250213,0.85205334,0.542286813,0.974452886,1.037915907,1.466568587,1.120971773,0.148319043,-1.023252229,1.024021921,1.034218284,5.566467356,1.232618837,0.855325392,1.034461564,1.303661989,0.082156335,-0.124936713
1,6137,13,2004,8.17E+06,0.14584,-0.10397,-0.095517,0.1702,1.3269,-1.757410824,2004,0.884361987,1.06929149,0.972167446,0.931929663,0.676104329,1.152771198,1.182356939,-0.096431228,-3.196121242,1.073399943,3.219752077,0.675398438,0.761736104,1.292052943,1.289294015,1.079001924,0.020219426,-1.531512799,1.051619272,0.894791961,1.494478917,1.070985035,0.86304762,1.038837562,0.865705844,0.078356101,-1.836859178
1,6262,13,2004,4.95E+05,0.69125,0.091772,0.00070449,4.6448,0.18517,2.741083067,2004,1.596541772,1.203936099,0.509993757,0.221737701,0.868233427,1.412055753,1.083976987,-0.247251161,-3.986051206,1.3265901,1.08100907,10.2862763,0.713751363,1.082599544,1.300229706,0.29639167,0.413367422,3.481643053,1.130490984,0.897161846,0.555639375,1.025230656,0.806721624,0.921065551,1.19066641,-0.185577837,-3.510579692
1,9801,18,2002,3.32E+07,-0.1122,-0.083386,-0.030925,0.21286,0.28582,-1.717637402,2002,0.526201719,0.91810108,1.075800231,1.128822469,1.192908745,1.003395775,1.364359083,-0.061532408,-3.199059238,1.056413535,1.075072267,1.035800035,0.770494694,0.910567289,1.188048565,0.949056969,-2.10E-05,-2.604785761,1.25584249,1.037518205,1.180724999,1.151355123,1.044982989,1.089101646,1.079308864,-0.031108362,-2.198436089
